what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1470455115507
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1470455115507
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1470455115507
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1470455115523
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1470455115523
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1470455115523
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1470455115523
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1470455115538
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1470455115538
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1470455115538
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1470455115538
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1470455115538
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1470455115554
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1470455115554
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1470455115554
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1470455115554
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1470455115554
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1470455115570
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1470455115570
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1470455115570
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1470455115570
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1470455115570
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1470455115585
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1470455115585
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1470455115585
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1470455115585
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1470455115585
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1470455115601
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1470455115601
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1470455115601
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1470455115601
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1470455115601
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1470455115616
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1470455115616
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1470455115616
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1470455115616
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1470455115632
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1470455115632
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1470455115632
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1470455115632
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1470455115632
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1470455115648
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1470455115648
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1470455115648
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1470455115648
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1470455115663
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1470455115663
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1470455115663
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1470455115663
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1470455115679
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1470455115679
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1470455115679
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1470455115679
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470455115679
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470455115694
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470455115694
os,sysinfo,,,"win32",1470455115694
arch,sysinfo,,,"x86_64",1470455115694
ws,sysinfo,,,"win32",1470455115694
locale,sysinfo,,,"en_US",1470455115694
processors,sysinfo,,,"4",1470455115694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470455115710
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1470455115710
java.specification.name,sysinfo,,,"Java Platform API Specification",1470455115710
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470455115710
java.specification.version,sysinfo,,,"1.7",1470455115710
java.vendor,sysinfo,,,"Oracle Corporation",1470455115710
java.version,sysinfo,,,"1.7.0_79",1470455115710
java.vm.info,sysinfo,,,"mixed mode",1470455115710
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470455115710
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470455115710
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470455115710
java.vm.specification.version,sysinfo,,,"1.7",1470455115710
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470455115710
java.vm.version,sysinfo,,,"24.79-b02",1470455115710
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1470455116927
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1470455118534
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1470455118534
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1470455118549
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470455118643
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470455118752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455298573
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1470455298605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455302271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455307449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455311193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455316590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455317075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455328946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455429648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455431972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470455438896
